topic,file,url,venue
production,2021 - Tsiboe et al - Spatiotemporal Evaluation of Dry Beans and Groundnut Production Technology and Inefficiency in Ghana.pdf,,
production,"2022 - Tsiboe et al - Production Technology, Efficiency, and Productivity of Cereal Farms in Ghana.pdf",,ARER
production,2019 - Tsiboe et al - Vegetable Production Technical Efficiency and Technology Gaps in Ghana.pdf,,AfJARE
production,2023 - Adaku et al - Taking Stock of Gender Gaps in Crop Production Technology Adoption and Technical Efficiency in Ghana.pdf,,Agrekon
production,2024 - Asravor et al - Technology and Managerial Performance of Farm Operators by Age in Ghana.pdf,,JPA
production,2023 - Ansah et al - Starchy Staples Production Shortfalls in Ghana.pdf,,PLOS ONE
production,"2020 - Tsiboe - Nationally Representative Farm-Household Level Dataset on Crop Production in Ghana, 1987-2017.pdf",,SSRN
production,2021 - Tsiboe et al - Effect of Fertilizer Subsidy on Household-level Cereal Production in Ghana.pdf,,Scientific African
production,2025 - Asravor et al - Charting the Path to Increased Oil Palm Output in Ghana.pdf,https://doi.org/10.1002/agr.22054,Agribusiness
production,2026 - Tsiboe et al - Production Gaps Among Farmers With Disabilities Are Associated With Limited Technology.pdf,https://doi.org/10.1111/agec.70115,Agricultural Economics
